Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,NZ,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,125.238.251.69,Auckland,2020-07-23T07:36:17.699Z
NFAPPL-01-IPAD4=2-DE4126F171ACB5D089ACFA06509D88809E69D64D56E3B4A0198D594D93FEBB66,NZ,iPad Air Cellular,iPad Air Cellular,125.238.251.69,Auckland,2020-07-23T04:23:27.834Z
NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,NZ,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,122.56.171.67,Wellington,2020-07-23T03:21:20.335Z
NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,NZ,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,125.238.251.69,Auckland,2020-07-22T08:30:42.065Z
SONY-CTV140000000000000007457208,NZ,Sony CE Sony CE 2014 Core DTV Smart TV,Sony CE Sony CE 2014 Core DTV Smart TV,125.238.251.69,Auckland,2020-07-19T01:10:49.238Z
NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,NZ,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,125.238.251.69,Auckland,2020-07-18T05:11:02.952Z
NFANDROID2-PRV-HIMEDIADISHSV10-HIMEDSV10-10094-EFF3AEBDC7A55C4B6C673B77E255D7E241EC48FD787B43F3F3FB25F6041754DE,NZ,HiSilicon HiMediaDishSV10 Set Top Box,HiSilicon HiMediaDishSV10 Set Top Box,125.238.251.69,Auckland,2020-07-18T03:03:17.586Z
NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,NZ,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,222.152.108.1,Bay of Plenty,2020-07-17T03:42:14.214Z
NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,NZ,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,222.152.108.1,Bay of Plenty,2020-07-12T20:06:23.207Z
NFANDROID2-PRV-HIMEDIADISHSV10-HIMEDSV10-10094-EFF3AEBDC7A55C4B6C673B77E255D7E241EC48FD787B43F3F3FB25F6041754DE,NZ,HiSilicon HiMediaDishSV10 Set Top Box,HiSilicon HiMediaDishSV10 Set Top Box,122.57.178.143,Auckland,2020-07-11T20:09:20.946Z
NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,NZ,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,122.57.178.143,Auckland,2020-07-11T19:39:08.615Z
NFAPPL-01-IPAD4=2-DE4126F171ACB5D089ACFA06509D88809E69D64D56E3B4A0198D594D93FEBB66,NZ,iPad Air Cellular,iPad Air Cellular,122.57.178.143,Auckland,2020-07-09T04:20:43.745Z
NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,NZ,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,122.57.178.143,Auckland,2020-06-11T07:03:59.830Z
NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,NZ,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,122.56.171.67,Wellington,2020-06-11T04:23:34.559Z
NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,NZ,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,122.57.178.143,Auckland,2020-06-10T07:46:41.479Z
NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,NZ,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,122.56.171.67,Wellington,2020-06-10T04:33:21.649Z
NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,NZ,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,122.57.178.143,Auckland,2020-06-09T06:59:40.338Z
NFAPPL-01-IPAD4=2-DE4126F171ACB5D089ACFA06509D88809E69D64D56E3B4A0198D594D93FEBB66,NZ,iPad Air Cellular,iPad Air Cellular,122.57.178.143,Auckland,2020-05-31T20:07:47.991Z
NFAPPL-01-IPAD4=2-DE4126F171ACB5D089ACFA06509D88809E69D64D56E3B4A0198D594D93FEBB66,US,iPad Air Cellular,iPad Air Cellular,185.51.229.179,Unknown,2020-05-30T06:13:03.611Z
NFAPPL-01-IPAD4=2-DE4126F171ACB5D089ACFA06509D88809E69D64D56E3B4A0198D594D93FEBB66,NZ,iPad Air Cellular,iPad Air Cellular,122.57.178.143,Auckland,2020-05-28T18:00:07.362Z
NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,NZ,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,122.57.178.143,Auckland,2020-05-28T06:55:35.290Z
NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,NZ,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,122.56.171.67,Wellington,2020-05-28T04:48:29.157Z
NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,NZ,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,122.57.178.143,Auckland,2020-05-26T05:13:08.236Z
NFANDROID2-PRV-HIMEDIADISHSV10-HIMEDSV10-10094-EFF3AEBDC7A55C4B6C673B77E255D7E241EC48FD787B43F3F3FB25F6041754DE,NZ,HiSilicon HiMediaDishSV10 Set Top Box,HiSilicon HiMediaDishSV10 Set Top Box,122.57.178.143,Auckland,2020-05-23T02:58:43.077Z
NFAPPL-01-IPAD4=2-DE4126F171ACB5D089ACFA06509D88809E69D64D56E3B4A0198D594D93FEBB66,NZ,iPad Air Cellular,iPad Air Cellular,122.57.178.143,Auckland,2020-05-21T19:41:00.319Z
NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,NZ,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,122.57.178.143,Auckland,2020-05-20T06:28:06.750Z
NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,NZ,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,122.57.178.143,Auckland,2020-05-20T05:08:59.457Z
NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,NZ,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,122.56.171.67,Wellington,2020-05-20T04:38:29.300Z
NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,NZ,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,125.236.139.181,Auckland,2020-05-19T05:21:51.953Z
NFANDROID2-PRV-HIMEDIADISHSV10-HIMEDSV10-10094-EFF3AEBDC7A55C4B6C673B77E255D7E241EC48FD787B43F3F3FB25F6041754DE,NZ,HiSilicon HiMediaDishSV10 Set Top Box,HiSilicon HiMediaDishSV10 Set Top Box,125.236.139.181,Auckland,2020-05-18T05:11:39.311Z
NFAPPL-01-IPAD4=2-DE4126F171ACB5D089ACFA06509D88809E69D64D56E3B4A0198D594D93FEBB66,NZ,iPad Air Cellular,iPad Air Cellular,125.236.139.181,Auckland,2020-05-07T22:59:29.483Z
NFAPPL-01-IPAD4=2-DE4126F171ACB5D089ACFA06509D88809E69D64D56E3B4A0198D594D93FEBB66,US,iPad Air Cellular,iPad Air Cellular,185.51.229.179,Unknown,2020-04-29T08:32:39.815Z
NFAPPL-01-IPAD4=2-DE4126F171ACB5D089ACFA06509D88809E69D64D56E3B4A0198D594D93FEBB66,NZ,iPad Air Cellular,iPad Air Cellular,125.236.139.181,Auckland,2020-04-24T02:37:26.490Z
NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,NZ,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,125.236.139.181,Auckland,2020-03-29T02:13:10.378Z
NFANDROID2-PRV-HIMEDIADISHSV10-HIMEDSV10-10094-EFF3AEBDC7A55C4B6C673B77E255D7E241EC48FD787B43F3F3FB25F6041754DE,NZ,HiSilicon HiMediaDishSV10 Set Top Box,HiSilicon HiMediaDishSV10 Set Top Box,125.236.139.181,Auckland,2020-03-28T22:59:58.842Z
NFANDROID2-PRV-HIMEDIADISHSV10-HIMEDSV10-10094-EFF3AEBDC7A55C4B6C673B77E255D7E241EC48FD787B43F3F3FB25F6041754DE,NZ,HiSilicon HiMediaDishSV10 Set Top Box,HiSilicon HiMediaDishSV10 Set Top Box,222.152.190.3,Auckland,2020-03-28T05:12:42.058Z
NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,NZ,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,222.152.190.3,Auckland,2020-03-27T20:07:58.119Z
NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,NZ,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,222.152.190.3,Auckland,2020-03-25T06:03:09.468Z
NFANDROID2-PRV-HIMEDIADISHSV10-HIMEDSV10-10094-EFF3AEBDC7A55C4B6C673B77E255D7E241EC48FD787B43F3F3FB25F6041754DE,NZ,HiSilicon HiMediaDishSV10 Set Top Box,HiSilicon HiMediaDishSV10 Set Top Box,222.152.190.3,Auckland,2020-03-23T04:09:02.019Z
NFANDROID2-PRV-HIMEDIADISHSV10-HIMEDSV10-10094-EFF3AEBDC7A55C4B6C673B77E255D7E241EC48FD787B43F3F3FB25F6041754DE,NZ,HiSilicon HiMediaDishSV10 Set Top Box,HiSilicon HiMediaDishSV10 Set Top Box,222.152.189.197,Auckland,2020-03-22T07:36:56.500Z
NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,NZ,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,222.152.189.197,Auckland,2020-03-21T23:09:47.971Z
NFAPPL-01-IPAD4=2-DE4126F171ACB5D089ACFA06509D88809E69D64D56E3B4A0198D594D93FEBB66,NZ,iPad Air Cellular,iPad Air Cellular,222.152.189.197,Auckland,2020-03-20T03:35:16.513Z
NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,NZ,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,222.152.189.197,Auckland,2020-03-19T05:45:06.339Z
